# Used by org.languagetool.rules.nl.MissingSpaceRule
# should be used for compound of 2 parts and more
# those should not be in simple replace then.
# format: separate parts of compound word| description of meaning of compound (to avoid confusion with occasion correct use of split form)
blauw licht filter|filter om ogen tegen blauw licht te beschermen
blote billen gezicht|gezicht dat lijkt op blote billen’, dat wil zeggen: een bolrond gezicht)
blote borsten bar|bar waar het bedienend personeel met blote borst(en) rondloopt
blote eigendoms waarde|waarde van de blote eigendom
blote voeten dokter|dokter op blote voeten’; inlandse man of vrouw die medische hulp verleent)
blote wangen fetisjist|fetisjist voor blote wangen’, ‘iemand die zich alleen maar aangetrokken voelt tot mannen zonder baard(stoppels)
botte bijl methode|methode van de botte bijl’, ‘methode waarbij men ruw te werk gaat
boven modaal verdiener|iemand die meer dan een modaal inkomen verdient
bovenste lucht weg infectie|infectie van de bovenste luchtwegen
brak water plant|plant die met name in brak water voorkomt
brede basis kabinet|kabinet met ministers van partijen die samen een grote meerderheid in de Kamer hebben
brede school activiteiten|activiteiten van een brede school
brede school coördinator|coördinator van een brede school
brede school gebouw|gebouw waarin een brede school gehuisvest is
brede school medewerker|medewerker van een brede school
breed band internet|internet via een breedbandverbinding
breed beeld televisie|televisie waarvan breedte en hoogte van het beeldscherm een verhouding 16:9 hebben
bronzen medaille winnaar|winnaar van een bronzen medaille
bronzen olympische medaille winnares|winnares van een bronzen olympische medaille
bruine bonen soep|soep met bruine bonen
bruine kroeg sfeer|sfeer als in een bruine kroeg
buiten gewoon verlof uren|uren besteed aan buitengewoon verlof
buiten schoolse opvang activiteiten|activiteiten in het kader van de buitenschoolse opvang (bso)
burgerlijke partij stelling|zich burgerlijke partij stellen
burgerlijke ongehoorzaamheids campagne|campagne in het kader van de burgerlijke ongehoorzaamheid
causale relatie diagram|diagram dat een of meer causale relaties weergeeft
collectieve lasten druk|bedrag van de collectieve lasten uitgedrukt als percentage van het bruto binnenlands product
centrale bank president|president van een centrale bank
centrale verwarmings installatie|installatie voor de centrale verwarming
Chinees restaurant syndroom|allergische reactie op Chinees eten, wat veroorzaakt zou worden door ve-tsin, een smaakversterkend poeder
chronische vermoeidheids syndroom|syndroom met als belangrijk symptoom chronische vermoeidheid, myalgische encefalomyelitis (ME)
chronische tic stoornis|lichte vorm van het syndroom van Gilles de la Tourette
chronische pijn patiënt|patiënt met chronische pijn
chronische zorg model|model dat wordt toegepast in de chronische zorg
civiele partij stelling|het zich civiele partij stellen
commercieel vast goed portefeuille|portefeuille met commercieel vastgoed
complementaire valuta systeem|systeem waarin andere valuta‘s dan ‘gewoon’ geld een rol speelt, bijvoorbeeld: ruilhandel
concept kort geding dag vaarding|concept van een dagvaarding voor een kort geding
contant geld betaling|betaling met contant geld
cubitale tunnel syndroom|aandoening waarbij de zenuw bij de elleboog wordt afgeklemd
cultureel erf goed instelling|instelling voor het behoud van cultureel erfgoed
dagelijks beleid bepaler|bepaler van het dagelijkse beleid
dagelijks bestuur vergadering|vergadering van het dagelijks bestuur
definitief ontwerp fase|fase van het definitief ontwerp
derde betalers regeling|regeling in België waarbij de ziektekostenverzekeraar rechtstreeks de kosten van de behandeling aan de zorgverstrekker betaalt
derde prijs winnaar|winnaar van de derde prijs
dertiende weeks melding|melding van een geval van arbeidsongeschiktheid bij de uitvoeringsinstelling zodra die arbeidsongeschiktheid dertien weken heeft geduurd
derde wereld land|land in de derde wereld
dertig kilometer zone|zone waarbinnen niet harder dan dertig kilometer gereden mag worden
digitale kaarten maker|producent van digitale kaarten, meestal voor navigators
digitale media eeuw|eeuw van de digitale media
dikke darm kanker|kanker aan de dikke darm
dikke kinderen problematiek|de problematiek van dikke kinderen
dikke mensen stoel|stoel voor dikke mensen
dikke truien dag|dag waarop men dikke truien draagt
directe instructie les|les met directe instructie
directe instructie model|model voor directe instructie
directe rode kaart regeling|regeling waarbij de scheidsrechter een directe rode kaart uitdeelt aan een voetballer
dode bomen media|kranten, tijdschriften
dode hoek slacht offer|verkeersslachtoffer dat in de dode hoek van een afslaande vrachtwagen zat
dode hoek spiegel|spiegel waarmee je voertuigen in de dode hoek kunt zien
dode mans knop|knop die voortdurend moet worden ingedrukt
domme blondjes moppen|moppen over domme blondjes
dooie visjes vreter|saai iemand
drie gangen menu|menu met drie gangen
drie kamer appartement|woning met drie kamers
drie kamer flat|woning met drie kamers
drie kamer woning|woning met drie kamers
drie ledige samen stellingen verzameling|verzameling van drieledige samenstellingen
drie sporen beleid|beleid waarbij gelijktijdig drie doelstellingen worden nagestreefd
droge bulk schip|schip dat droge bulk vervoert
droge hoest siroop|siroop ter verhelping van een droge hoest
droge stof gehalte|gehalte aan droge stof
droge witte wijn liefhebber|liefhebber van droge witte wijn
droge worsten test|test waarin de smaak van verschillende droge worsten wordt vergeleken
droog bed training|training om bedplassen af te leren
dubbele dip recessie|recessie die een dubbele dip inhoudt’, ‘een recessie die volgt op een nog maar kort geleden doorgemaakte recessie
dubbele helix structuur|structuur gevormd door twee ineengedraaide helixen
dubbele hoek formule|formule die de (co)sinus van een dubbele hoek twee keer uitdrukt in de hoek x
Duitse herder pup|pup van het ras Duitse herder
duizend dingen doekje|doekje waar je (bij wijze van spreken) duizend dingen mee kunt doen
dunne darm horzel|horzel die parasiteert op paarden, ezels, muildieren en geiten
dunne laag chromatografie|vorm van chromatografie waarbij een oplossing van een te scheiden mengsel beweegt door een laagje absorptiemiddel
dunne laag technologie|technologie om zonnepanelen te maken door middel van een dun laagje silicium
duurzaam bouwen beleid|beleid op het gebied van duurzaam bouwen
duurzame energie project|project ter bevordering van duurzame energie
een april grap|grap op 1 april
een gezins woning|woning bedoeld voor één gezin
een hendel kraan|kraan die met één hendel of beugel bediend kan worden
een kind politiek|bevolkingspolitiek die erop gericht is dat echtparen slechts één kind hebben
een knops afstemming|afstemming van een radio met één knop
een knops bediening|bediening met één knop
een knops installatie|installatie van een programma waarbij je maar één knop hoeft in te drukken
een loket functie|functie van een instantie waar cliënten voor allerlei zaken bij één loket terechtkunnen
een mei feest|feest van socialisten en communisten op 1 mei, de Dag van de Arbeid
een ouder adoptie|adoptie door een van de twee partners, waarbij aan de andere partner medevoogdij wordt verleend
een ouder gezin|gezin met alleen een vader of moeder
een seconde long capaciteit|maximale hoeveelheid lucht die in één seconde kan worden uitgeademd
een staps procedure|procedure met maar één stap
eerste elftal speler|speler van het eerste elftal
eerste generatie allochtoon|allochtoon die in het buitenland is geboren
eerste groep leer kracht|leerkracht van de eerste groep
eerste hulp kist|kist met EHBO-materiaal
eerste hulp verlening|verlening van eerste hulp
eerste klas leer kracht|leerkracht van de eerste klas
eerste lijns gezondheids zorg|gezondheidszorg in de eerste lijn’, oftewel huisartsen in nauwe samenwerking met maatschappelijk werk, enz.)
eerste prijs winnaar|winnaar van de eerste prijs
eerste ronde gesprek|gesprek tijdens/voor de eerste ronde
eerste service percentage|percentage services van een tenniss(t)er die in zijn
eerste steen legging|legging van de eerste steen
eerste stortings bonus|bonus die wordt uitgekeerd bij de eerste storting
eerste trimester combinatie test|combinatietest in het eerste trimester (van een zwangerschap)
eerste trimester kans bepaling|kansbepaling in het eerste trimester (van een zwangerschap’ (om te bepalen of de vrucht het syndroom van Down heeft))
efficiënte markt hypothese|hypothese die stelt dat de koers van een effect e.d. alle publiekelijke informatie weerspiegelt
eigen beheer uitgave|uitgave in eigen beheer
eigen bijdrage beleid|beleid rond de eigen bijdrage
eigen bijdra genota|nota die betrekking heeft op de eigen bijdrage
eigen bijdrage regeling|regeling rond de eigen bijdrage
eigen risico niveau|niveau van het eigen risico
eigen risico niveaubepaling|bepaling van het niveau van het eigen risico
eigen risico periode|periode waarin het eigen risico geldt
eigen vuur incident|schietincident waarbij militairen van de eigen of van een bevriende krijgsmacht onder vuur worden genomen
eigen woning bezitter|bezitter van een eigen woning
eigen woning forfait|forfait dat aan de waarde van de eigen woning gerelateerd is
elektrische fiets gebruiker|gebruiker van een elektrische fiets
elektrische gitaar solo|solo op de elektrische gitaar
Elf steden tocht|tocht langs elf steden
Engelse drop liefhebber|liefhebber van Engelse drop
Engelse boeken liefhebber|liefhebber van Engelse boeken
enkele feit constructie|constructie die inhoudt dat een school leraren niet mag weigeren of ontslaan vanwege het enkele feit dat zij homoseksueel, lesbisch of biseksueel zijn
extreem weer protocol|protocol voor extreem weer
faciale esthetiek index|index voor de faciale esthetiek
fel licht reductie|methode om het effect van fel (tegen)licht in auto’s te reduceren
fijne motoriek taken|taken die te maken hebben met fijne motoriek
fijn hout fineer|fraaie houtsoort die als sierlaag wordt aangebracht op meubels en wanden
fijn stof flits paal|paal waarmee auto’s die te veel fijn stof uitstoten worden gefotografeerd
finaal extract stabiliteits onderzoek|onderzoek naar de stabiliteit van een finaal extract
finale kwijtings clausule|clausule over finale kwijting
flexibele uren contract|contract voor flexibele uren
flauwe grappen gehalte|gehalte aan flauwe grappen
fluwelen kleding liefhebber|liefhebber van fluwelen kleding
fossiele brand stoffen tekort|tekort aan fossiele brandstoffen
foute kerst truien dag|dag waarop je je ‘foute’ kersttrui aandoet
Franse kaas liefhebber|liefhebber van Franse kaas
frequente woorden lijst|lijst van frequente woorden
frisse lucht voorziening|het voorzien van een ruimte van frisse lucht
frontale botsings proef|proef alsof het een frontale botsing betreft
gebroken hart syndroom|hartfalen ten gevolge van een heftige emotie
gebruikte kleding inzamelings actie|inzamelingsactie voor gebruikte kleding
geen bezwaar systeem|systeem waarbij ervan wordt uitgegaan dat wie geen bezwaar maakt, akkoord gaat
geen pardon beleid|beleid dat geen pardon kent’, ‘nultolerantiebeleid
gekke koeien ziekte|een progressieve hersenziekte waardoor koeien ‘gek’ worden
gekloven tarwe brood|brood van gekloven tarwe
gekoeld water circuit|circuit voor gekoeld water
gekoeld water installatie|installatie voor gekoeld water
gekoeld water leiding|leiding voor gekoeld water
gekoeld water systeem|systeem voor gekoeld water
gele hesjes protest|protest van (mensen met) gele hesjes
gele kaart procedure|EU-procedure met betrekking tot supranationale wetgeving
gele koorts mug|steekmug die het virus van de gele koorts overbrengt
gele koorts vaccinatie|vaccinatie tegen de gele koorts
gele truid rager|drager van de gele trui in de Tour
gelijke behandelings wet geving|wetgeving in het kader van gelijke behandeling (van mannen en vrouwen)
gelijke kansen beleid|beleid dat gericht is op het scheppen van gelijke kansen voor alle mensen
geroosterde courgette tapenade|tapenade gemaakt van geroosterde courgettes
geroosterde paprika soep|soep met geroosterde paprika’s
gesloten beurs transactie|transactie waarbij de beurzen gesloten blijven
gesmolten zout reactor|reactor die gesmolten zout gebruikt als koelmiddel en soms ook in het splijtstofmengsel
gevaarlijke stoffen inspecteur|iemand die de omgang met gevaarlijke stoffen inspecteert
gevonden fietsen verkoop|verkoop van gevonden fietsen
gevonden voorwerpen bureau|bureau voor gevonden voorwerpen
gewone mensen taal|taal voor gewone mensen’, ‘jip-en-janneketaal
gezonde keuze klavertje|blauw klavertje op levensmiddelen die een gezonde keus zijn
gezonde voeding hype|hype rond gezonde voeding
gezond leven hype|hype rond gezond leven
glijdende schaal argument|argument in grijs gebied
goddelijke bevels theorie|vorm van religieuze ethiek waarbij de gelovige uitgaat van een goddelijke instantie die de mens opdraagt hoe te handelen
goede doelen fonds|fonds voor goede doelen
goede doelen keur merk|keurmerk voor goede doelen
goede doelen loterij|loterij waarvan de opbrengst naar goede doelen gaat
goede doelen project|project voor een of meer goede doelen
goede doelen stichting|stichting voor goede doelen
goed nieuws rubriek|rubriek met goed nieuws
gouden medaille winnaar|winnaar van een gouden medaille
gouden olympische medaille winnares|winnares van een gouden olympische medaille
grijs kenteken auto|auto met een grijs kenteken
grijs kenteken houder|bezitter van een auto met een grijs kenteken
grijze zone wapen|middellangeafstandsraket
groene amandel boom|pistacheboom
groene peper paté|paté met groene peper(s)
groene peper saus|saus met groene peper
groene stroom certificaat|certificaat dat vermeldt hoeveel groene stroom wordt opgewekt
groene tak fractuur|twijgbreuk
groene thee extract|extract van groene thee
groene trui drager|drager van de groene trui in de Tour
groot beeld televisie|televisie met groot beeld
groot formaat poster|poster met een groot formaat
groot licht laser kop lamp|laserkoplamp om groot licht te voeren
grote letter bibliotheek|bibliotheek met boeken met grote letters
grote letter boek|boek met grote letters
grote maten kleding|kleding voor mensen met grote maten
grote maten dames kleding|kleding voor vrouwen met grote maten
grote maten heren kleding|kleding voor mannen met grote maten
grote maten kinder kleding|kleding voor kinderen met grote maten
grote maten winkel|winkel met kleding in grote maten
grote mensen praat|praat voor grote mensen
grote mensen probleem|probleem voor grote mensen/volwassenen
grote mensen wereld|de wereld van de grote mensen
grote mensen werk|werk voor grote mensen
grote stads bewoner|bewoner van de grote stad
grote stads jungle|de grote stad voorgesteld als een chaotisch, onoverzichtelijk geheel
grote stads leven|het leven van de grote stad
grote steden beleid|beleid voor de grote steden
grote teen abductor|abductor van de grote teen
grote teen nagel|nagel van de grote teen
grote terts toon ladder|toonladder van de grote terts’, ‘majeurtoonladder
grote zaal productie|productie voor een grote zaal
grove dennen bos|bos dat grotendeels uit grove dennen bestaat
half jaar cijfers|cijfers die betrekking hebben op een half jaar
half jaar abonnement|abonnement dat een half jaar geldig is
half jaar lid maat schap|lidmaatschap dat een half jaar geldig is
half ponds pak|pak van een half pond (250 gram)
half volle melk pak|pak met halfvolle melk
half zware shag roker|roker van halfzware shag
halve eeuw feest|feest vanwege vijftigjarig jubileum
halve finale wed strijd|wedstrijd die een halve finale is
halve liter pul|pul van een halve liter
halve prijs pizza|pizza voor de halve prijs
harde kern jongere|jongere die deel uitmaakt van een harde kern van een bepaalde groep
harde munt politiek|politiek die gericht is op het behoud van een harde munt
harde schijf capaciteit|geheugencapaciteit van een harde schijf
heet water bad|bad in heet water
heet water bron|bron waar heet water uit komt
heet water kraan|kraan voor heet water
heet water reservoir|reservoir met heet water
heldere kippen soep recept|recept voor heldere kippensoep
hellend vlak argument|argument dat stoelt op het idee: als je dit toestaat/verbiedt, is het hek van de dam
hete lucht ballon|ballon die blijft zweven dankzij hete lucht
hete lucht oven|oven waarin verbrandingsgassen en rook door kanalen om de bakruimte worden geleid
hoge druk gebied|gebied met hoge luchtdruk
hoge druk spuit|spuit waarmee met hoge druk wordt gespoten
hoge frequentie beademing|beademing met een frequentie van meer dan 60 per minuut
hoge hoed toernooi|toernooi waarbij tegenspelers en/of teamgenoten uit de ‘hoge hoed’ komen, dus door het toeval worden bepaald
hoge inkomens groepen|groepen met een hoog inkomen
hoger beroeps procedure|procedure in hoger beroep
hogere inkomens groepen|groepen met hogere inkomens
hogere orde functie|functie van een hogere orde
hoge resolutie CT scan|CT-scan waarbij zeer dunne coupes worden gemaakt
hoge resolutie televisie|televisie met een hoge resolutie
hoger onderwijs instelling|instelling voor hoger onderwijs
hoge snelheids fractuur|botbreuk met versplintering en schade aan de weke delen
hoge snelheids trein|trein die een hoge snelheid haalt
hoge tonen verlies|gehoorverlies voor de hoge tonen
hoog rendements ketel|ketel met een hoog rendement
hoog rendements schroef centrifugaal pomp|schroefcentrifugaalpomp met een hoog rendement
hoog risico beveiliging|beveiliging op plaatsen waar het risico van aanslagen enz. groot is
hoog risico materiaal|materiaal met een hoog risico
hoog risico patiënt|patiënt met een hoog risico op een ziekte, aandoening of complicatie
hoog water extreem|de hoogste graad van hoog water
ideaal gas wet|wet die het gedrag van gassen onder invloed van druk, volume, temperatuur en aantal deeltjes beschrijft
ideale gas wet|wet die het gedrag van gassen onder invloed van druk, volume, temperatuur en aantal deeltjes beschrijft
ideale schoon zoon gehalte|mate waarin een man als de ideale schoonzoon wordt beschouwd
Ierse setter pup|pup van het ras ‘Ierse setter’
Ierse whisky liefhebber|liefhebber van Ierse whisky
Ierse wolfs hond pup|pup van het ras ‘Ierse wolfshond’
impliciete associatie test|test om impliciete associaties te onderzoeken
ingezonden brieven rubriek|rubriek voor ingezonden brieven
intellectuele eigendoms rechten|rechten op het vlak van de intellectuele eigendom
interactieve media ontwerper|ontwerper van interactieve media
interactieve media toepassing|toepassing van interactieve media
interculturele communicatie vaardigheden|vaardigheden in interculturele communicatie
interne markt overwegingen|overwegingen ten aanzien van / voortvloeiend uit de interne markt
irritantste toeristen top tien|toptien van irritantste toeristen
Japanse encefalitis virus|virus dat vooral in Japan meningomyelo-encefalitis bij de mens veroorzaakt
jaren dertig woning|woning uit de jaren dertig
jaren tachtig muziek|muziek uit de jaren tachtig
jonge ambtenaren club|club voor jonge ambtenaren
jonge honden sfeer|sfeer als bij jonge honden’, ‘vrolijke, uitgelaten sfeer
jonge ouders site|site voor jonge ouders
jonge paarden wedstrijden|wedstrijden met jonge paarden
jongere jaarsstudent|eerste- of tweedejaarsstudent
jong talent programma|programma voor jong talent
jong vee keuring|keuring van jong vee
klassieke muziek fan|fan van klassieke muziek
klassieke muziek festival|festival met klassieke muziek
klassieke muziek kenner|kenner van klassieke muziek
klassieke muziek liefhebber|liefhebber van klassieke muziek
klassieke muziek opleiding|opleiding in de klassieke muziek
klassieke muziek zender|zender die klassieke muziek uitzendt
klassieke talen docent|docent in de klassieke talen
kleine maag syndroom|symptomencomplex dat kan ontstaan na een maagverkleining
kleine beurs gezinnen|gezinnen die een ‘kleine beurs’ hebben, oftewel weinig geld
kleine maten dames schoenen|damesschoenen voor vrouwen met een kleine schoenmaat
kleine maten heren schoenen|herenschoenen voor mannen met een kleine schoenmaat
kleine mensen feest|feest voor kleine mensen/kinderen
kleine ondernemers regeling|regeling voor kleine ondernemers
kleine staten problematiek|de problemen waarmee kleine staten te maken hebben
kleine teen abductor|abductor van de kleine teen
kleine terts toonladder|toonladder van de kleine terts
kokend water kraan|kraan waar het water kokend uit komt
korte baan kampioen|kampioen van de korte baan
korte broeken weer|weer om een korte broek te dragen
korte film avond|avond waarop korte films vertoond worden
korte golf antenne|antenne voor ontvangst van de korte golf
korte keten principe|principe dat er zo min mogelijk schakels zitten tussen productie en consumptie van producten
korte keten vet zuur|vetzuur dat vrijkomt bij het verteren van voedsel
korte klap methode|methode om snel een criminele organisatie uit te schakelen
korte termijn belegger|een belegger die alleen naar de korte termijn kijkt
korte termijn denken|het alleen maar nadenken over de korte termijn
korte termijn effect|effect op de korte termijn
korte termijn geheugen|geheugen van de korte termijn
korte termijn herstelplan|herstelplan voor de korte termijn
korte termijn onderzoek|onderzoek op de korte termijn
korte termijn opdracht|opdracht voor de korte termijn
korte termijn oplossing|oplossing voor de korte termijn
korte termijn oriëntatie|oriëntatie op de korte termijn
korte termijn planning|planning voor de korte termijn
korte termijn prioriteit|prioriteit voor de korte termijn
korte termijn proces|proces van de korte termijn
korte termijn resultaten|resultaten op de korte termijn
korte termijn strategie|strategie voor de korte termijn
korte termijn visie|visie op de korte termijn
korte termijn voorspelling|voorspelling voor de korte termijn
korte verhalen bundel|bundel met korte verhalen
korte verhalen collectie|collectie van boeken met korte verhalen
korte verhalen wed strijd|wedstrijd om het beste korte verhaal
kort geding dag vaarding|dagvaarding voor een kort geding
kort geding rechter|rechter in een kort geding
kort verband vrijwilliger|militair in een kort dienstverband
koude aardappelen buurt|buurt waar men zijn stand probeert op te houden door zich veelal noodzakelijke levensbehoeften te ontzeggen
koude dranken automaat|automaat met koude dranken
koude grond tuinder|tuinder van de koude grond
koud water bad|bad in koud water
koud water kraan|kraan waar koud water uit komt
koud water vrees|vrees voor koud water
koud water woestijn|toendra
krasse knarren team|team van krasse knarren
kubieke meter prijs|prijs per kubieke meter
kunst zinnige therapie praktijk|praktijk voor kunstzinnige therapie
laagste actie prijs garantie|garantie dat je tijdens een actie altijd de laagste winkelprijs voor een bepaald product betaalt
laagste prijs garantie|garantie dat je altijd de laagste prijs voor een bepaald product betaalt
laatste kans onderwijs|onderwijs als laatste kans voor leerlingen die elders zijn weggestuurd
laatste wil pil|pil waarmee men zelf een einde kan maken aan het leven
lage druk gebied|gebied met lage luchtdruk
lage druk systeem|gedeelten van de bloedsomloop waar de druk laag is
lage inkomens groepen|groepen met een laag inkomen
lage instap fiets|fiets met een frame waar je voor het zadel langs makkelijk overheen stapt
lage lasten hypotheek|hypotheek met lage lasten
lagere-inkomens groepen|groepen met een lager inkomen
lagere school kind|kind op de lagere school
lagere school tijd|de tijd die men op de lagere school doorbrengt
lage tonen luid spreker|luidspreker voor lage tonen
lage tonen perceptie verlies|gehoorverlies voor de lage tonen
lage vloer bus|bus met een lage vloer
lange afstands bommen werper|bommenwerper die lange afstanden overbrugt
lange afstands raket|raket die lange afstanden overbrugt
lange afstands relatie|relatie tussen twee geliefden die ver van elkaar wonen
lange afstands wandeling|wandeling over een lange afstand
lange afstands zwemmer|iemand die een lange afstand of lange afstanden zwemt
lange afstand loper|iemand die lange afstanden loopt
lange baan schaatser|schaatser op de lange baan
lange halen voetbal|voetbal zonder combinatiespel, met alleen lange trappen naar voren
lange keten vetzuur|vetzuur dat vrijkomt bij het verteren van voedsel
langere termijn weers verwachting|weersverwachting voor de langere termijn
lange tenen cultuur|cultuur die gekenmerkt wordt doordat mensen snel op hun tenen getrapt zijn
lange termijn aantrekkelijkheid|aantrekkelijkheid voor de lange termijn
lange termijn afspraak|afspraak op de lange termijn
lange termijn ambitie|ambitie voor de lange termijn
lange termijn begroting|begroting voor de lange termijn
lange termijn belang|belang op de lange termijn
lange termijn benadering|benadering voor de lange termijn
lange termijn doel|doel voor de lange termijn
lange termijn financieel plan|financieel plan voor de lange termijn
lange termijn geheugen|geheugen van de lange termijn
lange termijn gezondheids plan|gezondheidsplan voor de lange termijn
lange termijn herstel plan|herstelplan voor de lange termijn
lange termijn huisvestings plan|huisvestingsplan voor de lange termijn
lange termijn internet marketing|internetmarketing voor de lange termijn
lange termijn investering|investering voor de lange termijn
lange termijn onderhouds plan|onderhoudsplan voor de lange termijn
lange termijn opdracht|opdracht voor de lange termijn
lange termijn oplossing|oplossing voor de lange termijn
lange termijn oriëntatie|oriëntatie op de lange termijn
lange termijn planning|planning voor de lange termijn
lange termijn project|project voor de lange termijn
lange termijn relatie|relatie voor de lange termijn
lange termijn reservering|reservering voor de lange termijn
lange termijn resultaten|resultaten op de lange termijn
lange termijn risico|risico op de lange termijn
lange termijn spaar doel|spaardoel voor de lange termijn
lange termijn stabiliteit|stabiliteit voor de lange termijn
lange termijn visie|visie voor de lange termijn
lange termijn voor spelling|voorspelling voor de lange termijn
lange termijn weers verwachting|weersverwachting voor de lange termijn
leeg scherm syndroom|syndroom dat ontstaat door het staren naar een leeg scherm
lege flessen actie|actie om het statiegeld van lege flessen in te zamelen voor een goed doel
lege flessen automaat|automaat waar je lege flessen inlevert
lege flessen bon|bon die je krijgt als je lege flessen inlevert
lege nest syndroom, leegnestsyndroom|syndroom veroorzaakt door een leeg nest’, ‘problemen die ontstaan als de kinderen het huis uit zijn
lekkende darm syndroom|syndroom waarbij de darm ‘lekt’
lelijke kerst truien dag|dag waarop je je lelijke kersttrui aandoet
levend virus vaccin|vaccin waarin het virus aanwezig is
lichte beroepen lijst|lijst van lichte beroepen
literaire thriller vertaler|vertaler van literaire thrillers
lopende band werk|werk aan de lopende band
lopende band arbeiders|arbeiders die aan een lopende band werken
losse band stoot|stoot waarbij de speelbal een of meer banden raakt alvorens de tweede bal te ontmoeten
losse pols benadering|benadering uit de losse pols
luie wijven knoop|knoop voor luie wijven
luie wijven soep|soep in blik of pakjes
maatschappelijke stage uren|uren in het kader van een maatschappelijke stage
magere melk poeder|poeder van magere melk
magere yoghurt dieet|dieet van magere yoghurt
Mechelse herder pup|pup van het ras ‘Mechelse herder’
medicinale heroïne behandeling|behandeling waarbij heroïne medicinaal wordt verstrekt
meer fronten oorlog|oorlog die op meer fronten tegelijk wordt uitgevochten
meer gangen brunch|brunch met meer gangen
meer gangen diner|diner met meer gangen
meer gangen lunch|lunch met meer gangen
meer gangen menu|menu met meer gangen
meer gangen ontbijt|ontbijt met meer gangen
meer gangen souper|souper met meer gangen
meer generatie gezin|gezin dat uit drie generaties bestaat
meer generatie huis|woning met wooneenheden voor ouders, grootouders en kinderen
meer granen brood|brood gemaakt van meer granen
meer granen rijst|pak rijst met daarin een combinatie van meer rijstsoorten en granen
meer jaren onderhouds begroting|onderhoudsbegroting voor een periode van meer jaren
meer jaren onderhouds plan|onderhoudsplan voor een periode van meer jaren
meer jaren ontwikkelings plan|ontwikkelingsplan voor een periode van meer jaren
meer jaren plan|plan voor een periode van meer jaren
meer ledige samenstellingen verzameling|een verzameling van meerledige samenstellingen
meer ouder gezin|gezin met meer dan één ouder
meer stromen land|gebied waar verscheidene rivieren stromen’; ‘politiek of levensbeschouwing waarbinnen verscheidene stromingen zijn
meer voudige kamer zitting|zitting van een meervoudige kamer
meer voudige persoonlijkheids stoornis|stoornis waarbij meerdere personen in één lichaam zouden huizen
Mexicaanse griep slacht offer|slachtoffer van Mexicaanse griep
Mexicaanse griep virus|virus dat Mexicaanse griep veroorzaakt
middelbare school leerling|leerling van een middelbare school
middelbare school tijd|tijd die men op de middelbare school doorbrengt
middellange afstands raket|raket die wordt ingezet voor aanvallen op de middellange afstand
middellange keten vet zuur|vetzuur dat vrijkomt bij de vertering van voedsel
middellange termijn opdracht|opdracht voor de middellange termijn
middellange termijn plan|plan voor de middellange termijn
mobiele telefoon aanbieder|aanbieder van mobiele telefonie
mobiele telefoon net|netwerk voor mobiele telefonie
moderne kunst beurs|beurs voor moderne kunst
